% Model:              kaiguan.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 3 2025, 22:05
% Dimension:          3
% Nodes:              78141
% Expressions:        4
% Description:        电场，x 分量, 电场，y 分量, 电场，z 分量, 电场模
% Length unit:        m
% x,y,z,esbe.Ex (V/m) @ freq=50,esbe.Ey (V/m) @ freq=50,esbe.Ez (V/m) @ freq=50,esbe.normE (V/m) @ freq=50
2.2,0.1,2,6800.245700920939,308.35750132616016,-4.313794332841553,6807.234721260857
2.3,0.1,2,6178.49270506994,267.8054914545427,-177.0831875586864,6186.828779202769
2.4,0.1,2,5623.064146337216,233.40330733023947,-315.29439273705293,5636.731149503868
2.5,0.1,2,5125.818312661038,204.09477432187313,-424.97686828229644,5147.45309739601
2.6,0.1,2,4679.7688195691535,179.03000471180025,-511.0997834623013,4710.998931845982
2.7,0.1,2,4278.893511438164,157.51913100999099,-577.7676821640889,4320.596886243268
2.8,0.1,2,3917.9806411025747,138.99767413123948,-628.3770677727557,3970.484907007093
2.9,0.1,2,3592.503493984944,123.00046454672527,-665.7426987431695,3655.73847662857
3,0.1,2,3298.5171757808876,109.14185070296433,-692.2001136945037,3372.1311510519686
3.1,0.1,2,3032.7465789934317,97.2222493701909,-709.7718807293754,3116.212460799661
3.2,0.1,2,2791.6893848391164,86.6846655816035,-720.022141391863,2884.350141152236
3.3,0.1,2,2573.138899941913,77.45005473651293,-724.1975269039604,2674.2296773738003
3.4,0.1,2,2374.6667632253057,69.33975334821764,-723.4482996711474,2483.390359983387
3.5,0.1,2,2194.14581276502,62.2005941024037,-718.7288689470331,2309.7004023549985
3.6,0.1,2,2029.7085512841268,55.90186918182299,-710.8313886939379,2151.3072968050105
3.7,0.1,2,1879.7112471615046,50.332388301769925,-700.4131762432112,2006.595709023799
3.8,0.1,2,1742.7031665945788,45.39764175275318,-688.0192678054038,1874.1520177421487
3.9,0.1,2,1617.4003696865643,41.01713406374779,-674.101151494074,1752.7346415229758
4,0.1,2,1502.6634835818663,37.12197172157216,-659.0324448498943,1641.2493256783737
4.1,0.1,2,1397.4788795595296,33.65277942146657,-643.1220512820707,1538.7285989488225
4.2,0.1,2,1300.94271916241,30.55799141718493,-626.6251636350275,1444.3146627663111
4.3,0.1,2,1212.2473896448591,27.792525435989006,-609.7523889811789,1357.245053053847
4.4,0.1,2,1130.669914175929,25.31680526457565,-592.6772341816044,1276.8405144608168
4.5,0.1,2,1055.561990059932,23.096063906303144,-575.5421924915242,1202.4946396409418
4.6,0.1,2,986.3413724381837,21.09983992115196,-558.463680790168,1133.6649368264154
4.7,0.1,2,922.4843776354587,19.30157899416178,-541.5360742356427,1069.8650838454814
4.8,0.1,2,863.5193282423597,17.678269511352518,-524.8350608376279,1010.6581976838107
4.9,0.1,2,809.020801289925,16.210068785804815,-508.42049479407206,955.6509942319329
5,0.1,2,758.6045714562483,14.879906834414527,-492.3388746010436,904.4887367486348
5.1,0.1,2,711.9231625755788,13.673078979724686,-476.62552229360386,856.8508802598328
5.2,0.1,2,668.6619327188625,12.576851864625489,-461.3065030892162,812.4473196845137
5.3,0.1,2,628.5356227506727,11.580108868456222,-446.40030374836374,771.0151484728511
5.4,0.1,2,591.2853001155627,10.673053333113305,-431.9192810078146,732.3158372632058
5.5,0.1,2,556.6756344897558,9.846976338113553,-417.8708929112129,696.1327517937867
5.6,0.1,2,524.4924541157968,9.094084723082958,-404.2587296980653,662.2689463793808
5.7,0.1,2,494.5405511655722,8.407377681402934,-391.0833628821882,630.5451906642909
